Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Case,Metric
1|Record_ID[797],0.416,0.805,-0.833,1.688,0.003,0.004,55013.0,29394.0,1.0,H&N,HD95_binary
1|Record_ID[799],-0.131,0.693,-1.218,0.981,0.003,0.003,60418.0,31030.0,1.0,H&N,HD95_binary
1|Record_ID[809],-0.505,0.678,-1.573,0.56,0.003,0.003,40789.0,31632.0,1.0,H&N,HD95_binary
1|Record_ID[866],0.029,0.661,-1.005,1.098,0.003,0.003,45549.0,31088.0,1.0,H&N,HD95_binary
1|Record_ID[871],-0.5,0.65,-1.536,0.516,0.003,0.003,51668.0,30237.0,1.0,H&N,HD95_binary
1|Record_ID[885],0.832,0.587,-0.1,1.761,0.003,0.002,40886.0,32731.0,1.0,H&N,HD95_binary
1|Record_ID[897],0.33,0.665,-0.757,1.348,0.003,0.003,42354.0,31348.0,1.0,H&N,HD95_binary
1|Record_ID[916],0.102,0.694,-1.004,1.201,0.003,0.003,42151.0,30365.0,1.0,H&N,HD95_binary
1|Record_ID[919],1.306,0.668,0.262,2.362,0.004,0.003,35584.0,31731.0,1.0,H&N,HD95_binary
1|Record_ID[948],0.389,0.633,-0.638,1.374,0.003,0.003,50777.0,31613.0,1.0,H&N,HD95_binary
1|Record_ID[949],-0.271,0.701,-1.369,0.843,0.003,0.003,55958.0,28877.0,1.0,H&N,HD95_binary
